id,created_at,name,lng,lat,visible,description,material,type,category,author,year,place,wiki_url,image_url
12,2025-03-13 20:49:29.849981+00,Multifunkční hodinový stroj,16.6085755,49.1947949,true,"Brněnský orloj! Socha, která proslavila Brno doslova po celém světě. Ve skutečnosti ale nejde o žádný orloj. Žulový leštěný obelisk symbolizuje nábojnici, která připomíná události z roku 1645, kdy se Brno úspěšně ubránilo obléhání švédskými vojsky. Hodinový stroj každý den v jedenáct hodin dopoledne vychrlí skleněnou kuličku ze sklárny v Karlově. Právě k této denní době se totiž vztahuje legenda o švédském generálovi Torstensonovi, který se údajně po čtyřech měsících bojů zavázal, že když nedobude město do poledne, odtáhne. Protože byl velmi blízko svému úspěchu, obránci Brna odbili z chrámu na Petrově poledne už v 11:00. Symbolika skleněné kuličky je v odkazu na pověst, podle níž mohla Torstensona zabít jen skleněná kulka.",,hodiny,Sochy,"Oldřich Rujbr, Petr Kameník",2010,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=904,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97960&RECORD_ID=6952&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
13,2025-03-13 20:49:29.903113+00,Sv. Cyril a Metoděj,16.6838204,49.1774708,true,"Cyril a Metoděj byli bratři ze Soluně, kteří přišli v 9. století na Velkou Moravu, aby šířili křesťanství a vzdělanost. Cyril (vlastním jménem Konstantin) vytvořil písmo zvané hlaholice, díky němuž mohli lidé číst a psát ve staroslověnštině. Metoděj působil jako biskup a spolu se svým bratrem položil základy slovanské kultury a písemnictví. Socha je památkově chráněná. ",,sousoší,Sochy,,1887,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1036,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64018&RECORD_ID=6957&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
14,2025-03-13 20:49:29.955006+00,Oběti 1. a 2. sv. války ze St. Lískovce,16.5622367,49.1644686,true,Památník vznikl k poctě občanům Starého Lískovce a osvoboditelům padlých v dubnu 1945.,,pomník,Pomníky a památníky,,,V parku u křižovatky ulic Točná a Klobásova,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=577,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97773&RECORD_ID=6959&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
15,2025-03-13 20:49:30.037216+00,Bohuslav Fuchs,16.5806278,49.1944691,true,Pomník vznikl jako pocta jednomu z nejznámějších brněnských architektů z období funkcionalismu – Bohuslavu Fuchsovi. Je autorem například pavilonů brněnského výstaviště.,,památník,Pomníky a památníky,"Milivoj Husák, Ladislav Vlachynský, Jaromír Foretník",1995,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=620,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64210&RECORD_ID=6964&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
16,2025-03-13 20:49:30.108931+00,Strojírenství,16.593189,49.2105437,true,O této soše nemáme žádnou zajímavost. Znáš ji ty? Napiš nám na havelkova.katka@gmail.com a my ji do aplikace doplníme. 👐,,socha,Sochy,Antonín Širůček,1976,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1647,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97586&RECORD_ID=6971&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
17,2025-03-13 20:49:30.173166+00,Sousoší sv. Trojice,16.527736,49.1775232,true,"Nejsvětější Trojice je křesťanské tajemství víry, podle kterého je jeden Bůh ve třech osobách: Otec, Syn (Ježíš Kristus) a Duch Svatý. Tyto tři božské osoby jsou odlišné, ale zároveň stejné v podstatě, rovné v moci a slávě. Trojiční nauka vyjadřuje hluboké společenství lásky a jednoty v samotném nitru Boha.",,sousoší,Sochy,,1906,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1231,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64734&RECORD_ID=6976&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
18,2025-03-13 20:49:30.227115+00,Památník 1. 2. a 3. odboje,16.6123826,49.1963896,true,"Památník 1., 2. a 3. odboje je trvalou připomínkou hrdinství obětí v letech první a druhé světové války a v období komunistické totality. Trojboký jehlan, jehož plochy představují tři dějinná období, se nachází u budovy Krajského soudu.",,památník,Pomníky a památníky,Michal Gabriel,2006,Na rohu ulic Roosveltova a Dvořákova,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=625,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=154071&RECORD_ID=6977&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
19,2025-03-13 20:49:30.280512+00,Dvě koňské hlavy,16.5529287,49.2217492,true,Oblíbeným tématem soch Vladimíra Drápala byly kromě koní i Venuše. Dvě můžeme najít v Brně – v parku u Anthroposu a v Bohunicích.,,socha,Sochy,Vladimír Drápal,1976,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1366,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=66685&RECORD_ID=6978&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
20,2025-03-13 20:49:30.336144+00,Textilačka,16.5880974,49.1883094,true,"Textilačku najdete před brněnským výstavištěm, kousek od Letohrádku Mitrovských. Symbolika je celkem jasná, neboť jak všichni dobře víme, Brno bylo v dobách minulých mekkou textilní výroby. A né nadarmo se mu říkalo moravský Manchester.",kámen,socha,Sochy,Miloš Axman,1964,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=859,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65675&RECORD_ID=6980&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
21,2025-03-13 20:49:30.395298+00,Sladké nic nedělání (Ležící dívka),16.5813725,49.2155917,true,"Umělec Borek neboli Ctibor Bayer měl jednu specialitu. Svá sochařská díla vytvářel z atypického umělého kamene, který sám vynalezl a jemuž dal jméno Bayerit. V brněnském veřejném prostoru najdeme řadu jeho děl převážně ze 70. a 80. let minulého století. Sochařova vynalézavost spojená s poplatností době se uplatnila též při volbě názvů děl jako Zdravé srdce štěstím člověka (v areálu Fakultní nemocnice Bohunice),  Světlo pro lidstvo či Energie ve službách míru (sídliště Lesná) nebo Budoucnost mládí  před budovou Střední policejní školy Ministerstva vnitra ve Štýřicích. Pro oživení nově postaveného obchodního komplexu Perla v Brně – Žabovřeskách vytvořil Bayer ze „svého“ umělého kamene sochu Ležící dívky uváděnou pod názvem Sladké nicnedělání. Pamětníci, kteří zažili obchodní dům Perla na konci 80. let si možná vzpomenou, že zde bývala i klasická socialistická „čtyřková“ hospoda, která tvořila svého druhu „kulturní“ centrum sídlištní části Žabovřesk. Sladké nicnedělání totiž k popíjení piva neodmyslitelně patří.",kámen,socha,Sochy,Ctibor Bayer,1988,Před obchodním domem,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1258,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=238047&RECORD_ID=6984&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
22,2025-03-13 20:49:30.46445+00,Matka s dítětem,16.5726504,49.215715,true,"Autorka sochy Sylva Lacinová (1923–2019) byla významná česká sochařka, která se prosadila zejména v monumentálním sochařství ve veřejném prostoru. Vytvořila přes šedesát děl. Pro její tvorbu je typická tvarová jednoduchost, harmonie a vyváženost se smyslem pro detail, patrná je také inspirace modernismem.",,socha,Sochy,Sylva Lacinová,1975,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1350,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71009&RECORD_ID=6987&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
23,2025-03-13 20:49:30.515219+00,Dr. Miroslav Tyrš,16.5748612,49.2058482,true,"Na stupňovitém kamenném podstavci je bronzová portrétní busta s plastickým nápisem, na podstavci černý rytý letopočet. Miroslav Tyrš byl významný český tělovýchovný pedagog, estetik a filosof, který žil v 19. století. Je známý především jako spoluzakladatel tělovýchovné organizace Sokol, která měla velký vliv na rozvoj tělesné kultury a vlastenectví v českých zemích. Tyrš vytvořil unikátní systém sokolského tělocviku a prosazoval myšlenku „ve zdravém těle zdravý duch“, čímž ovlivnil generace Čechů v přístupu k fyzické aktivitě a národnímu uvědomění.",,pomník,Pomníky a památníky,,1932,Ve svahu nad areálem hřiště Pod lesem,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=497,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71003&RECORD_ID=6989&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
24,2025-03-13 20:49:30.56955+00,Vítězství nad fašismem,16.5823116,49.2085951,true,Pomník v areálu Kounicových kolejí připomíná místa bitev druhé světové války a místa nacistických koncentračních táborů a věznic. Je památkově chráněný.,,pomník,Pomníky a památníky,"Jiří Marek, Jaroslav Hlavsa, Jar. Ryška, A. Hladík, Fr. Chmelař",1976,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=299,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=70998&RECORD_ID=6990&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
25,2025-03-13 20:49:30.625594+00,Růže pro Vincence Makovského,16.576411,49.218181,true,Růže k poctě sochaři Vincenci Makovskému od jeho studentky Sylvy Lacinové.,,socha,Sochy,Sylva Lacinová,1981,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1282,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71025&RECORD_ID=6991&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
26,2025-03-13 20:49:30.672742+00,Oběti 1. a 2. sv. války ze Žabovřesk,16.5784803,49.2122857,true,,,pomník,Pomníky a památníky,,1924,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=290,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71006&RECORD_ID=6992&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
27,2025-03-13 20:49:30.724015+00,Růže,16.5837791,49.2083938,true,"Památník s podobou růže stojí na místě, kde se konaly popravy v areálu Kounicových kolejí.",,socha,Sochy,Jiří Marek,1985,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1539,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=70995&RECORD_ID=7003&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
28,2025-03-13 20:49:30.774645+00,Oběti bojů za svobodu a demokracii,16.5306031,49.226628,true,,,pomník,Pomníky a památníky,Otmar Oliva,2008,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=734,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71676&RECORD_ID=7004&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
29,2025-03-13 20:49:30.82838+00,Karel Tomeš,16.5921673,49.1956155,true,"Busta vznikla na památku Karlu Tomešovi, který byl starosta města Brna letech 1925 - 1935. Zahynul v roce 1945 v Dachau. Autor sochy, Nikos Armutidis, je moravský sochař a malíř řeckého původu, žijící a tvořící ve Veverských Knínicích nedaleko Brna. Jeho tvorba zahrnuje figurativní plastiky, portréty, pamětní desky a volné kompozice, často z bronzu.",,busta,Sochy,Nikos Armutidis,2005,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=218,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=74773&RECORD_ID=7007&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
30,2025-03-13 20:49:30.878311+00,F. M. Klácel,16.5930853,49.1914281,true,"Pomník k poctě Františka Matouše Klácela, který byl člen augustiniánského řádu v klášteře na Mendlově náměstí. Zároveń byl i filozof, básník a novinář.",,pomník,Pomníky a památníky,Milada Otthová,1978,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=395,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65374&RECORD_ID=7010&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
31,2025-03-13 20:49:30.931615+00,Otvírání studánek,16.5685448,49.1937312,true,Inspirací pro sochu byla Jiřímu Markovi skladba Otvírání studánek od Bohuslava Martinů.,,fontána,Vodní prvky,Jiří Marek,1966,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=972,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64169&RECORD_ID=7013&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
32,2025-03-13 20:49:30.994534+00,Dělnických bojů a 1. máje 1890,16.565782,49.1922033,true,"Obelisk stojí na místě, kde se scházeli brněnstí dělníci při svých manifestacích v 19. století.",,pomník,Pomníky a památníky,"Miloš Slezák (sochař), Antonín Hladík (architekt)",,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=404,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64195&RECORD_ID=7014&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
33,2025-03-13 20:49:31.048772+00,Prometheus,16.5820386,49.1919165,true,"Idea a symbolika Promethea je v uměleckých dílech na Masarykově univerzitě několikrát zastoupena. Pochodeň, kterou drží Prometheus, je v případě této sochy situována do spodní části plastiky, kde můžeme spatřit napřaženou paži se zlatavými plameny. Plastika stojí před budovou menzy fakulty Ekonimicko-správní.",,socha,Sochy,Jiří Marek,1983,U menzy ESF MUNI,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2008,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=163000&RECORD_ID=7018&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
34,2025-03-13 20:49:31.100515+00,Pro bazén,16.5768304,49.1933036,true,"Byla vytvořena na základě sochařské skici Vincence Makovského z roku 1930, kterou zrealizoval až jeho syn Zdeněk Makovský v roce 1998 z bronzu v monumentálním měřítku. Tato zvětšenina na plintu, ze které dílo vyvěrá, je vysoká 260 cm a reprezentuje ojedinělé dílo Makovského avantgardního období, které se nachází ve veřejném prostoru. Zde můžeme spatřovat symbol života (vejce), který byl typický pro malíře Josefa Šímu, přítele Vincence Makovského. Slavnostně byla socha odhalena dne 18. června roku 1998 při otevření nové budovy Ekonomicko-správní fakulty.",,socha,Sochy,"Vincenc Makovský, Zdeněk Makovský",1930,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1334,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=178277&RECORD_ID=7019&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
35,2025-03-13 20:49:31.148452+00,Lovec sobů,16.5670428,49.1932418,true,"Anthropos a Lovec sobů. Lovec sobů a Anthropos. Neodmyslitelně patří k sobě. Dřív byla socha dokonce přímo u pavilonu, ale kvůli postmoderní rekonstrukci budovy v 90. letech se přesunula blíž k silnici. Trošku tam chátrá, protože se neví, kdo je jejím správcem. Autor sochy, Antonín Širůček (1913–1977), vycházel z novodobé sochařské tradice a zároveň prosazoval moderní a humanistickou formu. V jeho díle se často objevují myšlenky rodiny, mateřství či milenců. Pro veřejný prostor Brna vytvořil celou řadu plastických realizací.",,socha,Sochy,Antonín Širůček,1961,V parku u pavilonu Anthropos,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2007,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64177&RECORD_ID=7021&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
36,2025-03-13 20:49:31.200295+00,Blíženci,16.6762755,49.2063815,true,"O autorovi sochy Blíženci, Františku Navrátilovi, řekl jeho pomocník: “Naučil mě vnímat umělecké dílo, přemýšlet o něm a pochopit jej. Zbavil mě hloupého zvyku odsuzovat díla, kterým jsem nerozuměl.“",,socha,Sochy,František Navrátil,1987,U schodů vedle nákupního střediska,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1092,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=98937&RECORD_ID=7026&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
37,2025-03-13 20:49:31.252232+00,František Foltýn,16.5079925,49.2174101,true,František Foltýn byl český malíř počátku 20. století. Věnoval se především abstrakci.,,busta,Sochy,Miloš Vlček a Zdeněk Michal,1981,,https://www.encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=382,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65899&RECORD_ID=7033&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
38,2025-03-13 20:49:31.314435+00,Voda,16.5961097,49.2282037,true,Socha vznikla v rámci Mezinárodního sochařského sympozia Kámen v roce 1997. První ročníky sympozia probíhaly v bývalém kartuziánském klášteře/VUT v Králově Poli.,kámen,socha,Sochy,Vasco Montecchi,1997,V Božetěchově sadu,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1664,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64404&RECORD_ID=7038&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
39,2025-03-13 20:49:31.370027+00,Oběti 1. sv. války z Přízřenic,16.622488,49.1437532,true,,,pomník,Pomníky a památníky,,,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=2046,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=65470&RECORD_ID=7040&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
40,2025-03-13 20:49:31.440263+00,Rytmy,16.5407139,49.196083,true,"Při výstavbě sídliště Kohoutovice architekti zvolili pro výtvarnou výzdobu jako jednotící téma hudbu, které bylo dostatečně apolitické. Najdeme zde tak díky tomu busty různých hudebních osobností a sochy hudbou více či méně inspirované.",kámen,socha,Sochy,Jiří Sobotka,1986,,https://encyklopedie.brna.cz/home-mmb/?acc=profil-objektu&load=996,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97564&RECORD_ID=7047&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
41,2025-03-13 20:49:31.493264+00,Matka s dítětem,16.6403699,49.202384,true,,,socha,Sochy,"Jaroslav Přindiš, Blahoslav Adamík",1982,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1347,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71167&RECORD_ID=7055&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
42,2025-03-13 20:49:31.544366+00,Jehlan,16.6621599,49.2054776,true,,,socha,Sochy,Antonín Nový,1991,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=71202&RECORD_ID=7057&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
43,2025-03-13 20:49:31.594612+00,Okupace a osvobození Soběšic,16.6223212,49.2567527,true,"Památník s vyrytými jmény občanů Soběšic, kteří se stali obětí druhé světové války.",,pomník,Pomníky a památníky,Zdeněk Macháček,2013,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1528,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97473&RECORD_ID=7061&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
44,2025-03-13 20:49:31.645078+00,Beran,16.5548058,49.1684805,true,"Od stejného autora můžeme nedaleko v Bohunicích najít ještě sochu Táta letadélko. Obě jsou kovové, jde totiž o oblíbený materiál autora Antonína Nového.",,socha,Sochy,Antonín Nový,1983,Na parkovišti vedle obchodu Albert,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1483,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=97745&RECORD_ID=7063&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
45,2025-03-13 20:49:31.697723+00,Slunce a člověk,16.5295463,49.1917519,true,"V oválu představujícím slunce jsou umístěny plastiky staré a mladé tváře, které připomínají fáze lidského života",kámen,socha,Sochy,Zdeněk Tomáš Makovský,1986,,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=866,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=64610&RECORD_ID=7065&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080
