kod,nazev,popis_objektu,sloh,material,spravce,typ,druh,url_3d,autor_dila,rok_vytvoreni,umisteni,adresa_momc,adresa_ulice,adresa_cislo_domovni,adresa_cislo_orientacni,url_odkaz_enc,obr_id1,obr_id2,obr_id3,obr_id4,obr_id5,obr_id6,url_odkaz_katalog,datum_exportu,ObjectId,GlobalID,x,y
7393,Břetislav Bakala,"Busta je zavěšena na zdi. Hlava je z kovu a je umístěna na kamenném podstavci, na kterém je rytý zlacený nápis.",,kombinovaný,,busta,Sochy,,Roman Boreček,1997,V interiéru Besedního domu,Brno-střed,Komenského náměstí,534,8,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=31,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242051&RECORD_ID=7393&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242050&RECORD_ID=7393&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242049&RECORD_ID=7393&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,22,d7639dfc-490e-46da-bda6-4501f57ca5fa,1848365.03324937,6308220.12881535
7394,František Jílek,"Portrétní bronzová busta umístěná na podstavci z leštěné žuly, na němž je nápis rytým zlaceným písmem.",,bronz,,busta,Sochy,,Nikos Armutidis,2003,Ve foyer Besedního domu,Brno-střed,Komenského náměstí,534,8,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=313,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242829&RECORD_ID=7394&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242830&RECORD_ID=7394&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242828&RECORD_ID=7394&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,23,0eb5dc6a-79a4-46c8-989f-4d8f75e32823,1848375.73105244,6308221.35534385
7395,František Lýsek,,,,,busta,Sochy,,Miroslav Rybička,2007,Ve 2. patře budovy Filharmonie Brno,Brno-střed,Komenského náměstí,534,8,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=1560,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242831&RECORD_ID=7395&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242833&RECORD_ID=7395&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=242832&RECORD_ID=7395&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,24,7ebf5c51-aca5-4324-abe3-946a2ddacc49,1848372.41373161,6308209.78850577
7396,Císař Josef II.,"Busta, bližší popis ani text neznáme",,,,busta,Sochy,,Viktor Oskar Tilgner,,Ve foyer Mahenova divadla,Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=746,,,,,,,,3/11/2025 12:00:00 AM,25,a889995c-fa6e-4dc2-a911-af5e4cc26ea5,1849423.12500936,6308174.28744061
7397,Wolfgang Amadeus Mozart,"Bronzová busta v životní velikosti, bližší popis a ani případný text neznáme.",,,,busta,Sochy,,Carl Korschann,,Ve vnitřních prostorách Mahenova divadla,Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=748,,,,,,,,3/11/2025 12:00:00 AM,26,7919e33f-12f1-41f9-80bc-3e7be34ac2c7,1849417.8707294,6308167.37122363
7398,Leoš Janáček,,,,,busta,Sochy,,Jan Štursa ,1926,"Původně ve foyer Mahenova divadla, dnes v salonku divadla",Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=750,,,,,,,,3/11/2025 12:00:00 AM,27,7efb1fed-95c2-4d7d-a44b-935e0ef05da3,1849413.41794977,6308180.14749096
7399,Vilém Mrštík,,,bronz,,busta,Sochy,,Václav Vokálek,1928,Ve foyer Mahenova divadla,Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=751,,,,,,,,3/11/2025 12:00:00 AM,28,e2e6fc92-561f-4436-b0d5-d771df76d31d,1849433.5667776,6308175.70134773
7400,František Neumann,"Bronzová busta, na soklu plasticky vyvedené jméno František Neumann, na levém boku soklu signováno J. Axmann",,bronz,,busta,Sochy,,Josef Axmann,1930,Ve foyer Mahenova divadla,Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=752,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=373991&RECORD_ID=7400&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=373990&RECORD_ID=7400&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=373989&RECORD_ID=7400&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,29,bae82d30-9d80-40f8-bda9-902399568ee4,1849427.06571934,6308183.94630485
7401,Jiří Mahen,"Popis ani text neznáme, zmínka pouze z literatury.",,,,busta,Sochy,,,,Ve foyer Mahenova divadla,Brno-střed,Malinovského náměstí,571,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=753,,,,,,,,3/11/2025 12:00:00 AM,30,267e32d5-baf6-445d-af12-7a1a987c9ae0,1849409.9781775,6308166.97941841
7402,Hans Richter,"Patinovaná sádra, písmo ryté na podstavci busty, signováno pod levou klopou „Wollek 1897“. Dnes ve sbírkách Muzea města Brna.",,,,busta,Sochy,,Carl Wollek,1898,Na schodišti 1. patra již neexistujícího Německého domu,Brno-střed,Moravské náměstí,716,10,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=735,,,,,,,,3/11/2025 12:00:00 AM,31,41b427da-86fa-4dfa-ad6f-01d947a7f18b,1848640.63804468,6308724.6559406
7403,Wolfgang Amadeus Mozart,"Bronzová busta skladatele umístěna na mramorovém soklu, na němž byla připevněna bronzová deska s vysvětlujícím textem, písmo plastické, v horní části výzdoba (harfa a ratolest); signováno vlevo dole na bustě: „K. Korschann 1932“",,bronz,,busta,Sochy,,Karl Korschann,1932,Na schodišti mezi okny v 1. patře již neexistujícího Německého domu,Brno-střed,Moravské náměstí,716,10,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=737,,,,,,,,3/11/2025 12:00:00 AM,32,d5b738fa-9e1a-45ae-b553-a197588d1aec,1848638.54523825,6308728.25056625
7404,""Občan Rulík"","Pozlacená busta umístěná na betonovém sloupku, pod ní na gravírované mosazné destičce označení",,,,busta,Sochy,,,2007,Na kraji parku proti kostelu sv. Tomáše,Brno-střed,Moravské náměstí,1,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=655,,,,,,,,3/11/2025 12:00:00 AM,33,726d0228-3bab-4406-ad8c-149afaaf5dee,1848733.77906263,6308630.5318099
7405,Anton Jelinek,,,,,busta,Sochy,,Karl Korschann,1924,Pravděpodobně v nádvoří budovy,Brno-střed,náměstí 28. října,1903,23,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=701,,,,,,,,3/11/2025 12:00:00 AM,34,13064ebe-57f6-4860-8f94-2d0cde99e32a,1849458.55800328,6309203.35091365
7406,Tomáš Garrigue Masaryk,"Na vysokém kvádrovém podstavci z šedé leštěné žuly částečně vezděném mezi dvě okna podesty schodiště je bronzová portrétní busta v nadživotní velikosti, bez nápisu. Signováno vpravo dole na okraji busty „V. Makovský“. Původní busta odhalená ve 30. letech b",,,Neurčeno,busta,Sochy,,Vincenc Makovský,1946,Ve vchodu do polikliniky ze Zahradníkovy ulice 2/8,Brno-střed,Zahradníkova,494,2,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=303,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247264&RECORD_ID=7406&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247265&RECORD_ID=7406&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247263&RECORD_ID=7406&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,35,61b2c8e3-98a2-439d-9560-5ba6abab03b9,1847232.69138902,6309897.64154233
7407,Antonín Klobouk,Busta černé barvy připevněná na zeď. Pod bustou je štítek s rytým nápisem.,,kombinovaný,,busta,Sochy,,Václav Adolf Kovanič,,V pavilonu kliniky velkých zvířat,Brno-Královo Pole,Palackého třída,1946,1,https://encyklopedie.brna.cz/home-mmb/?acc=profil_objektu&load=795,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247236&RECORD_ID=7407&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247235&RECORD_ID=7407&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=247234&RECORD_ID=7407&AGENDA_IDENT=PASPORT_ODA_OBJEKTY&preview=1080,,,,,3/11/2025 12:00:00 AM,36,b4df79e5-2750-4fc9-883d-361c77884194,1847657.43090615,6311761.3323542
